Date,Open,High,Low,Close,Adj Close,Volume
2011-05-27,133.369995,133.869995,132.960007,133.509995,108.442429,120921900
2011-05-31,134.770004,134.919998,133.839996,134.899994,109.571442,164731200
2011-06-01,134.509995,134.919998,131.759995,131.869995,107.110336,233094300
2011-06-02,131.960007,132.240005,130.960007,131.729996,106.996635,200466800
2011-06-03,130.149994,131.419998,130.080002,130.419998,105.932587,234690200
2011-06-06,130.089996,130.360001,128.869995,129.039993,104.811699,179951200
2011-06-07,129.699997,130.070007,128.850006,128.960007,104.746719,161660500
2011-06-08,128.759995,129.190002,128.179993,128.419998,104.308128,198696400
2011-06-09,128.770004,129.929993,128.460007,129.399994,105.104111,160964400
2011-06-10,128.850006,128.929993,127.260002,127.599998,103.642082,238629400
2011-06-13,127.889999,128.240005,127.050003,127.699997,103.723305,207599800
2011-06-14,128.869995,129.770004,128.820007,129.320007,105.039154,160570400
2011-06-15,128.240005,129.300003,126.680000,127.019997,103.170975,300958000
2011-06-16,127.059998,127.970001,126.320000,127.300003,103.398422,308032800
2011-06-17,127.930000,127.940002,126.620003,127.050003,103.706978,233284900
2011-06-20,126.620003,127.970001,126.580002,127.699997,104.237534,159479000
2011-06-21,128.360001,129.699997,127.750000,129.449997,105.666016,193157300
2011-06-22,129.050003,129.809998,128.589996,128.669998,105.029327,176703000
2011-06-23,127.160004,128.639999,126.190002,128.300003,104.727295,334286500
2011-06-24,128.270004,128.369995,126.620003,126.809998,103.511070,226129300
2011-06-27,126.889999,128.429993,126.639999,127.940002,104.433449,168904700
2011-06-28,128.449997,129.630005,128.270004,129.610001,105.796593,165556300
2011-06-29,130.199997,130.929993,129.630005,130.720001,106.702675,244295500
2011-06-30,131.139999,132.179993,130.710007,131.970001,107.723015,223322700
2011-07-01,132.089996,134.100006,131.779999,133.919998,109.314743,202385700
2011-07-05,133.779999,134.080002,133.389999,133.809998,109.224922,165936000
2011-07-06,133.490005,134.139999,133.110001,133.970001,109.355522,143331600
2011-07-07,135.160004,135.699997,134.880005,135.360001,110.490158,170464200
2011-07-08,133.830002,135.360001,133.389999,134.399994,109.706543,194100500
2011-07-11,132.750000,133.179993,131.660004,131.970001,107.723015,195918600
2011-07-12,131.690002,132.779999,131.360001,131.399994,107.257729,214675700
2011-07-13,132.089996,133.220001,131.520004,131.839996,107.616867,204062600
2011-07-14,132.169998,132.779999,130.679993,130.929993,106.874077,226111800
2011-07-15,131.660004,131.869995,130.770004,131.690002,107.494461,220012800
2011-07-18,131.080002,131.279999,129.630005,130.610001,106.612854,196872100
2011-07-19,131.339996,132.889999,131.309998,132.729996,108.343361,166554900
2011-07-20,133.070007,133.149994,132.419998,132.649994,108.278069,137145400
2011-07-21,133.399994,134.820007,132.669998,134.490005,109.780014,245246300
2011-07-22,134.520004,134.720001,133.759995,134.580002,109.853439,126019400
2011-07-25,133.300003,134.490005,133.160004,133.830002,109.241241,136653800
2011-07-26,133.740005,133.960007,133.029999,133.330002,108.833099,131278200
2011-07-27,132.589996,132.630005,130.429993,130.600006,106.604729,249020100
2011-07-28,130.600006,131.770004,130.009995,130.220001,106.294525,207939900
2011-07-29,128.910004,130.550003,127.970001,129.330002,105.568054,307038400
2011-08-01,130.839996,130.960007,127.529999,128.779999,105.119102,325790900
2011-08-02,127.809998,128.500000,125.489998,125.489998,102.433586,346653800
2011-08-03,125.660004,126.309998,123.529999,126.169998,102.988655,370830800
2011-08-04,124.419998,124.620003,120.059998,120.260002,98.164497,520721800
2011-08-05,121.760002,122.070000,116.860001,120.080002,98.017570,655619200
2011-08-08,116.910004,120.120003,112.019997,112.260002,91.634323,702263900
2011-08-09,114.070000,117.639999,110.269997,117.480003,95.895264,717828700
2011-08-10,115.260002,116.279999,111.949997,112.290001,91.658829,662607400
2011-08-11,113.260002,118.919998,112.320000,117.330002,95.772827,487979700
2011-08-12,118.400002,119.209999,117.279999,118.120003,96.417694,313731600
2011-08-15,119.190002,120.739998,119.000000,120.620003,98.458344,258810600
2011-08-16,119.470001,120.690002,118.309998,119.589996,97.617592,294095200
2011-08-17,120.250000,121.199997,118.720001,119.669998,97.682899,238201100
2011-08-18,116.500000,119.709999,113.389999,114.510002,93.470955,512956300
2011-08-19,112.959999,115.879997,112.500000,112.639999,91.944527,428281300
2011-08-22,115.169998,115.230003,112.410004,112.730003,92.018005,275090600
2011-08-23,113.150002,116.570000,112.580002,116.440002,95.046341,331136600
2011-08-24,116.190002,118.239998,115.919998,118.080002,96.384995,246869700
2011-08-25,118.730003,119.400002,115.870003,116.279999,94.915764,312365400
2011-08-26,115.690002,118.510002,113.849998,117.970001,96.295258,314495900
2011-08-29,119.559998,121.430000,118.059998,121.360001,99.062416,190977200
2011-08-30,120.830002,122.430000,119.260002,121.680000,99.323586,241315700
2011-08-31,122.459999,123.510002,121.300003,122.220001,99.764389,301828400
2011-09-01,122.290001,123.400002,120.779999,120.940002,98.719574,254585900
2011-09-02,118.419998,120.870003,117.430000,117.849998,96.197273,255517200
2011-09-06,114.389999,117.160004,114.379997,116.989998,95.495285,285130500
2011-09-07,118.760002,120.339996,118.360001,120.290001,98.189018,209803200
2011-09-08,119.570000,120.940002,118.769997,119.040001,97.168640,250568200
2011-09-09,117.680000,119.059998,115.279999,115.919998,94.621880,380195100
2011-09-12,114.470001,116.760002,114.050003,116.669998,95.234093,305793500
2011-09-13,117.050003,118.180000,116.220001,117.739998,96.107475,272514700
2011-09-14,118.339996,120.800003,116.720001,119.370003,97.438019,319389500
2011-09-15,120.650002,121.470001,119.400002,121.430000,99.119522,326777200
2011-09-16,121.290001,121.970001,120.320000,121.519997,99.706177,284528300
2011-09-19,119.529999,120.930000,118.720001,120.309998,98.713379,241517000
2011-09-20,120.820000,121.989998,120.010002,120.169998,98.598511,218932200
2011-09-21,120.230003,120.599998,116.440002,116.629997,95.693985,316251300
2011-09-22,113.250000,114.209999,111.300003,112.860001,92.600716,513911300
2011-09-23,112.110001,114.160004,112.019997,113.540001,93.158669,307242500
2011-09-26,114.610001,116.400002,112.980003,116.239998,95.373970,260673700
2011-09-27,118.529999,119.559998,116.839996,117.540001,96.440620,311753900
2011-09-28,117.779999,118.489998,114.970001,115.139999,94.471451,286696800
2011-09-29,117.050003,117.629997,113.930000,116.050003,95.218102,298108900
2011-09-30,114.449997,115.449997,113.070000,113.150002,92.838676,288392300
2011-10-03,112.489998,113.949997,109.809998,109.930000,90.196686,365136800
2011-10-04,108.349998,112.580002,107.430000,112.339996,92.174065,459177500
2011-10-05,112.620003,114.720001,111.580002,114.419998,93.880653,284108000
2011-10-06,114.360001,116.660004,113.510002,116.489998,95.579102,257800800
2011-10-07,117.169998,117.250000,115.059998,115.709999,94.939125,312657900
2011-10-10,117.680000,119.629997,117.669998,119.580002,98.114433,230666300
2011-10-11,118.870003,120.040001,118.750000,119.699997,98.212898,209088000
2011-10-12,120.599998,122.139999,120.330002,120.750000,99.074402,281544900
2011-10-13,120.040001,120.870003,119.120003,120.510002,98.877464,212538800
2011-10-14,121.910004,122.599998,121.230003,122.570000,100.567711,211397600
2011-10-17,121.989998,122.550003,119.930000,120.230003,98.647720,202311600
2011-10-18,120.139999,123.500000,119.199997,122.580002,100.575928,318857900
2011-10-19,122.379997,123.080002,120.709999,121.129997,99.386162,226601300
2011-10-20,121.430000,122.099998,119.820000,121.660004,99.821060,262075600
2011-10-21,123.089996,124.120003,122.720001,123.970001,101.716393,278999400
2011-10-24,124.169998,125.800003,124.059998,125.489998,102.963531,203215600
2011-10-25,124.889999,124.949997,122.779999,123.050003,100.961533,268596800
2011-10-26,124.349998,124.769997,122.209999,124.300003,101.987137,289053800
2011-10-27,127.629997,129.419998,126.610001,128.630005,105.539894,393220200
2011-10-28,128.000000,128.850006,127.800003,128.600006,105.515259,225906500
2011-10-31,127.160004,128.619995,125.320000,125.500000,102.971741,228146700
2011-11-01,122.029999,123.510002,121.519997,122.000000,100.100037,416565800
